timestamp,ofi_best_level,ofi_integrated,ofi_level_1,ofi_level_2,ofi_level_3,ofi_level_4,ofi_level_5,ofi_level_6,ofi_level_7,ofi_level_8,ofi_level_9,ofi_level_10
2024-10-21 11:55:29.221064336+00:00,-733.0,214.58695052396519,-733.0,1536.0,498.0,-103.0,-251.0,780.0,-156.0,-227.0,767.0,698.0
2024-10-21 11:56:29.221064336+00:00,-784.0,870.3241272218694,-784.0,-193.0,3647.0,-559.0,562.0,-64.0,-231.0,872.0,717.0,364.0
2024-10-21 11:57:29.221064336+00:00,560.0,-174.78825846305597,560.0,569.0,-488.0,-511.0,-115.0,655.0,-924.0,405.0,1237.0,-1735.0
2024-10-21 11:58:29.221064336+00:00,566.0,53.73832979846334,566.0,491.0,1346.0,430.0,-1885.0,-371.0,894.0,-1161.0,1361.0,2096.0
2024-10-21 11:59:29.221064336+00:00,357.0,53.242402567590396,357.0,1446.0,802.0,-820.0,-298.0,220.0,-31.0,1138.0,-199.0,2130.0
2024-10-21 12:00:29.221064336+00:00,493.0,275.85051744024776,493.0,1723.0,1145.0,36.0,-1086.0,766.0,923.0,-1318.0,3845.0,-2339.0
2024-10-21 12:01:29.221064336+00:00,500.0,1144.7617766451708,500.0,-440.0,3768.0,261.0,522.0,31.0,156.0,777.0,470.0,143.0
2024-10-21 12:02:29.221064336+00:00,-699.0,473.88818572667833,-699.0,-357.0,-225.0,2261.0,-67.0,-627.0,2155.0,-1967.0,1668.0,-908.0
2024-10-21 12:03:29.221064336+00:00,-1100.0,418.15767042458765,-1100.0,65.0,1718.0,245.0,-491.0,354.0,192.0,-622.0,879.0,-430.0
2024-10-21 12:04:29.221064336+00:00,-99.0,1116.1544509111939,-99.0,618.0,629.0,3733.0,-1047.0,718.0,1222.0,-1855.0,2869.0,-2884.0
2024-10-21 12:05:29.221064336+00:00,233.0,-313.1407544355486,233.0,-180.0,-249.0,-1517.0,1005.0,-298.0,147.0,733.0,-1258.0,-189.0
2024-10-21 12:06:29.221064336+00:00,-3256.0,1305.5409593570002,-3256.0,830.0,56.0,2552.0,1882.0,564.0,2754.0,1605.0,-240.0,-860.0
2024-10-21 12:07:29.221064336+00:00,-1680.0,614.102740459673,-1680.0,1834.0,-152.0,1571.0,725.0,-337.0,2588.0,-1560.0,-1360.0,11.0
2024-10-21 12:08:29.221064336+00:00,-979.0,2147.1302507674673,-979.0,-6600.0,6701.0,728.0,3169.0,-499.0,905.0,2570.0,-3507.0,18.0
2024-10-21 12:09:29.221064336+00:00,1458.0,1631.3544157468223,1458.0,-6923.0,-528.0,4911.0,-870.0,7931.0,-3975.0,4169.0,-1811.0,6615.0
2024-10-21 12:10:29.221064336+00:00,13.0,492.0103048083492,13.0,-693.0,1220.0,-3809.0,3950.0,3546.0,-582.0,791.0,5802.0,2040.0
2024-10-21 12:11:29.221064336+00:00,-11.0,322.6456071395746,-11.0,117.0,-15205.0,13841.0,-3169.0,6676.0,-801.0,2822.0,693.0,5318.0
2024-10-21 12:12:29.221064336+00:00,133.0,286.30822342268107,133.0,4591.0,-11490.0,11564.0,-4441.0,4455.0,-942.0,788.0,1049.0,-998.0
2024-10-21 12:13:29.221064336+00:00,-1372.0,2196.016312691927,-1372.0,-12349.0,7749.0,783.0,3283.0,258.0,-304.0,4420.0,-3448.0,-2509.0
2024-10-21 12:14:29.221064336+00:00,-1142.0,2553.3903597275603,-1142.0,-4393.0,7926.0,76.0,4114.0,-3224.0,6668.0,8945.0,-2177.0,-5770.0
2024-10-21 12:15:29.221064336+00:00,479.0,1328.6458062074364,479.0,-537.0,-9541.0,14587.0,-5222.0,3495.0,2539.0,12571.0,-8363.0,-3702.0
2024-10-21 12:16:29.221064336+00:00,-5308.0,356.1456289311376,-5308.0,-912.0,1473.0,-1377.0,2775.0,-3018.0,4798.0,11117.0,-10904.0,-3710.0
2024-10-21 12:17:29.221064336+00:00,-1788.0,651.9410544577157,-1788.0,2861.0,566.0,-1974.0,2302.0,4627.0,-1663.0,-3285.0,-2418.0,13508.0
2024-10-21 12:18:29.221064336+00:00,-2237.0,-897.4310327598929,-2237.0,-5151.0,2326.0,-4740.0,542.0,1518.0,2330.0,-4336.0,-519.0,6247.0
2024-10-21 12:19:29.221064336+00:00,-5050.0,302.8663678517243,-5050.0,5442.0,-2257.0,1334.0,1130.0,-39.0,2514.0,-1950.0,-715.0,-1092.0
2024-10-21 12:20:29.221064336+00:00,-2545.0,358.82368856338263,-2545.0,4541.0,579.0,-911.0,1093.0,43.0,1164.0,-1060.0,-159.0,-409.0
2024-10-21 12:21:29.221064336+00:00,-200.0,1424.4483184412186,-200.0,-2355.0,2171.0,6467.0,-3452.0,-607.0,5386.0,-4362.0,-347.0,1026.0
2024-10-21 12:22:29.221064336+00:00,141.0,403.0929478981568,141.0,-1996.0,-1046.0,3107.0,-706.0,459.0,5710.0,-4055.0,-365.0,-700.0
